datetime,local_time,electricity
1/1/2018 0:00,1/1/2018 2:00,0
1/1/2018 1:00,1/1/2018 3:00,0
1/1/2018 2:00,1/1/2018 4:00,0
1/1/2018 3:00,1/1/2018 5:00,0
1/1/2018 4:00,1/1/2018 6:00,0
1/1/2018 5:00,1/1/2018 7:00,0.019
1/1/2018 6:00,1/1/2018 8:00,0.047
1/1/2018 7:00,1/1/2018 9:00,0.058
1/1/2018 8:00,1/1/2018 10:00,0.078
1/1/2018 9:00,1/1/2018 11:00,0.089
1/1/2018 10:00,1/1/2018 12:00,0.091
1/1/2018 11:00,1/1/2018 13:00,0.112
1/1/2018 12:00,1/1/2018 14:00,0.098
1/1/2018 13:00,1/1/2018 15:00,0.042
1/1/2018 14:00,1/1/2018 16:00,0
1/1/2018 15:00,1/1/2018 17:00,0
1/1/2018 16:00,1/1/2018 18:00,0
1/1/2018 17:00,1/1/2018 19:00,0
1/1/2018 18:00,1/1/2018 20:00,0
1/1/2018 19:00,1/1/2018 21:00,0
1/1/2018 20:00,1/1/2018 22:00,0
1/1/2018 21:00,1/1/2018 23:00,0
1/1/2018 22:00,1/2/2018 0:00,0
1/1/2018 23:00,1/2/2018 1:00,0
1/2/2018 0:00,1/2/2018 2:00,0
1/2/2018 1:00,1/2/2018 3:00,0
1/2/2018 2:00,1/2/2018 4:00,0
1/2/2018 3:00,1/2/2018 5:00,0
1/2/2018 4:00,1/2/2018 6:00,0
1/2/2018 5:00,1/2/2018 7:00,0.016
1/2/2018 6:00,1/2/2018 8:00,0.079
1/2/2018 7:00,1/2/2018 9:00,0.201
1/2/2018 8:00,1/2/2018 10:00,0.341
1/2/2018 9:00,1/2/2018 11:00,0.427
1/2/2018 10:00,1/2/2018 12:00,0.502
1/2/2018 11:00,1/2/2018 13:00,0.437
1/2/2018 12:00,1/2/2018 14:00,0.317
1/2/2018 13:00,1/2/2018 15:00,0.112
1/2/2018 14:00,1/2/2018 16:00,0
1/2/2018 15:00,1/2/2018 17:00,0
1/2/2018 16:00,1/2/2018 18:00,0
1/2/2018 17:00,1/2/2018 19:00,0
1/2/2018 18:00,1/2/2018 20:00,0
1/2/2018 19:00,1/2/2018 21:00,0
1/2/2018 20:00,1/2/2018 22:00,0
1/2/2018 21:00,1/2/2018 23:00,0
1/2/2018 22:00,1/3/2018 0:00,0
1/2/2018 23:00,1/3/2018 1:00,0
1/3/2018 0:00,1/3/2018 2:00,0
1/3/2018 1:00,1/3/2018 3:00,0
1/3/2018 2:00,1/3/2018 4:00,0
1/3/2018 3:00,1/3/2018 5:00,0
1/3/2018 4:00,1/3/2018 6:00,0
1/3/2018 5:00,1/3/2018 7:00,0.02
1/3/2018 6:00,1/3/2018 8:00,0.092
1/3/2018 7:00,1/3/2018 9:00,0.28
1/3/2018 8:00,1/3/2018 10:00,0.38
1/3/2018 9:00,1/3/2018 11:00,0.394
1/3/2018 10:00,1/3/2018 12:00,0.308
1/3/2018 11:00,1/3/2018 13:00,0.278
1/3/2018 12:00,1/3/2018 14:00,0.269
1/3/2018 13:00,1/3/2018 15:00,0.179
1/3/2018 14:00,1/3/2018 16:00,0.003
1/3/2018 15:00,1/3/2018 17:00,0
1/3/2018 16:00,1/3/2018 18:00,0
1/3/2018 17:00,1/3/2018 19:00,0
1/3/2018 18:00,1/3/2018 20:00,0
1/3/2018 19:00,1/3/2018 21:00,0
1/3/2018 20:00,1/3/2018 22:00,0
1/3/2018 21:00,1/3/2018 23:00,0
1/3/2018 22:00,1/4/2018 0:00,0
1/3/2018 23:00,1/4/2018 1:00,0
1/4/2018 0:00,1/4/2018 2:00,0
1/4/2018 1:00,1/4/2018 3:00,0
1/4/2018 2:00,1/4/2018 4:00,0
1/4/2018 3:00,1/4/2018 5:00,0
1/4/2018 4:00,1/4/2018 6:00,0
1/4/2018 5:00,1/4/2018 7:00,0.018
1/4/2018 6:00,1/4/2018 8:00,0.049
1/4/2018 7:00,1/4/2018 9:00,0.1
1/4/2018 8:00,1/4/2018 10:00,0.275
1/4/2018 9:00,1/4/2018 11:00,0.222
1/4/2018 10:00,1/4/2018 12:00,0.174
1/4/2018 11:00,1/4/2018 13:00,0.138
1/4/2018 12:00,1/4/2018 14:00,0.13
1/4/2018 13:00,1/4/2018 15:00,0.061
1/4/2018 14:00,1/4/2018 16:00,0
1/4/2018 15:00,1/4/2018 17:00,0
1/4/2018 16:00,1/4/2018 18:00,0
1/4/2018 17:00,1/4/2018 19:00,0
1/4/2018 18:00,1/4/2018 20:00,0
1/4/2018 19:00,1/4/2018 21:00,0
1/4/2018 20:00,1/4/2018 22:00,0
1/4/2018 21:00,1/4/2018 23:00,0
1/4/2018 22:00,1/5/2018 0:00,0
1/4/2018 23:00,1/5/2018 1:00,0
1/5/2018 0:00,1/5/2018 2:00,0
1/5/2018 1:00,1/5/2018 3:00,0
1/5/2018 2:00,1/5/2018 4:00,0
1/5/2018 3:00,1/5/2018 5:00,0
1/5/2018 4:00,1/5/2018 6:00,0
1/5/2018 5:00,1/5/2018 7:00,0.015
1/5/2018 6:00,1/5/2018 8:00,0.041
1/5/2018 7:00,1/5/2018 9:00,0.065
1/5/2018 8:00,1/5/2018 10:00,0.084
1/5/2018 9:00,1/5/2018 11:00,0.116
1/5/2018 10:00,1/5/2018 12:00,0.136
1/5/2018 11:00,1/5/2018 13:00,0.094
1/5/2018 12:00,1/5/2018 14:00,0.043
1/5/2018 13:00,1/5/2018 15:00,0.016
1/5/2018 14:00,1/5/2018 16:00,0
1/5/2018 15:00,1/5/2018 17:00,0
1/5/2018 16:00,1/5/2018 18:00,0
1/5/2018 17:00,1/5/2018 19:00,0
1/5/2018 18:00,1/5/2018 20:00,0
1/5/2018 19:00,1/5/2018 21:00,0
1/5/2018 20:00,1/5/2018 22:00,0
1/5/2018 21:00,1/5/2018 23:00,0
1/5/2018 22:00,1/6/2018 0:00,0
1/5/2018 23:00,1/6/2018 1:00,0
1/6/2018 0:00,1/6/2018 2:00,0
1/6/2018 1:00,1/6/2018 3:00,0
1/6/2018 2:00,1/6/2018 4:00,0
1/6/2018 3:00,1/6/2018 5:00,0
1/6/2018 4:00,1/6/2018 6:00,0
1/6/2018 5:00,1/6/2018 7:00,0.027
1/6/2018 6:00,1/6/2018 8:00,0.113
1/6/2018 7:00,1/6/2018 9:00,0.279
1/6/2018 8:00,1/6/2018 10:00,0.515
1/6/2018 9:00,1/6/2018 11:00,0.552
1/6/2018 10:00,1/6/2018 12:00,0.487
1/6/2018 11:00,1/6/2018 13:00,0.36
1/6/2018 12:00,1/6/2018 14:00,0.238
1/6/2018 13:00,1/6/2018 15:00,0.1
1/6/2018 14:00,1/6/2018 16:00,0.002
1/6/2018 15:00,1/6/2018 17:00,0
1/6/2018 16:00,1/6/2018 18:00,0
1/6/2018 17:00,1/6/2018 19:00,0
1/6/2018 18:00,1/6/2018 20:00,0
1/6/2018 19:00,1/6/2018 21:00,0
1/6/2018 20:00,1/6/2018 22:00,0
1/6/2018 21:00,1/6/2018 23:00,0
1/6/2018 22:00,1/7/2018 0:00,0
1/6/2018 23:00,1/7/2018 1:00,0
1/7/2018 0:00,1/7/2018 2:00,0
1/7/2018 1:00,1/7/2018 3:00,0
1/7/2018 2:00,1/7/2018 4:00,0
1/7/2018 3:00,1/7/2018 5:00,0
1/7/2018 4:00,1/7/2018 6:00,0.004
1/7/2018 5:00,1/7/2018 7:00,0.308
1/7/2018 6:00,1/7/2018 8:00,0.549
1/7/2018 7:00,1/7/2018 9:00,0.704
1/7/2018 8:00,1/7/2018 10:00,0.791
1/7/2018 9:00,1/7/2018 11:00,0.815
1/7/2018 10:00,1/7/2018 12:00,0.79
1/7/2018 11:00,1/7/2018 13:00,0.706
1/7/2018 12:00,1/7/2018 14:00,0.549
1/7/2018 13:00,1/7/2018 15:00,0.314
1/7/2018 14:00,1/7/2018 16:00,0.023
1/7/2018 15:00,1/7/2018 17:00,0
1/7/2018 16:00,1/7/2018 18:00,0
1/7/2018 17:00,1/7/2018 19:00,0
1/7/2018 18:00,1/7/2018 20:00,0
1/7/2018 19:00,1/7/2018 21:00,0
1/7/2018 20:00,1/7/2018 22:00,0
1/7/2018 21:00,1/7/2018 23:00,0
1/7/2018 22:00,1/8/2018 0:00,0
1/7/2018 23:00,1/8/2018 1:00,0
1/8/2018 0:00,1/8/2018 2:00,0
1/8/2018 1:00,1/8/2018 3:00,0
1/8/2018 2:00,1/8/2018 4:00,0
1/8/2018 3:00,1/8/2018 5:00,0
1/8/2018 4:00,1/8/2018 6:00,0.006
1/8/2018 5:00,1/8/2018 7:00,0.333
1/8/2018 6:00,1/8/2018 8:00,0.566
1/8/2018 7:00,1/8/2018 9:00,0.716
1/8/2018 8:00,1/8/2018 10:00,0.798
1/8/2018 9:00,1/8/2018 11:00,0.822
1/8/2018 10:00,1/8/2018 12:00,0.792
1/8/2018 11:00,1/8/2018 13:00,0.706
1/8/2018 12:00,1/8/2018 14:00,0.545
1/8/2018 13:00,1/8/2018 15:00,0.31
1/8/2018 14:00,1/8/2018 16:00,0.023
1/8/2018 15:00,1/8/2018 17:00,0
1/8/2018 16:00,1/8/2018 18:00,0
1/8/2018 17:00,1/8/2018 19:00,0
1/8/2018 18:00,1/8/2018 20:00,0
1/8/2018 19:00,1/8/2018 21:00,0
1/8/2018 20:00,1/8/2018 22:00,0
1/8/2018 21:00,1/8/2018 23:00,0
1/8/2018 22:00,1/9/2018 0:00,0
1/8/2018 23:00,1/9/2018 1:00,0
1/9/2018 0:00,1/9/2018 2:00,0
1/9/2018 1:00,1/9/2018 3:00,0
1/9/2018 2:00,1/9/2018 4:00,0
1/9/2018 3:00,1/9/2018 5:00,0
1/9/2018 4:00,1/9/2018 6:00,0.005
1/9/2018 5:00,1/9/2018 7:00,0.315
1/9/2018 6:00,1/9/2018 8:00,0.548
1/9/2018 7:00,1/9/2018 9:00,0.7
1/9/2018 8:00,1/9/2018 10:00,0.782
1/9/2018 9:00,1/9/2018 11:00,0.806
1/9/2018 10:00,1/9/2018 12:00,0.778
1/9/2018 11:00,1/9/2018 13:00,0.692
1/9/2018 12:00,1/9/2018 14:00,0.538
1/9/2018 13:00,1/9/2018 15:00,0.292
1/9/2018 14:00,1/9/2018 16:00,0.021
1/9/2018 15:00,1/9/2018 17:00,0
1/9/2018 16:00,1/9/2018 18:00,0
1/9/2018 17:00,1/9/2018 19:00,0
1/9/2018 18:00,1/9/2018 20:00,0
1/9/2018 19:00,1/9/2018 21:00,0
1/9/2018 20:00,1/9/2018 22:00,0
1/9/2018 21:00,1/9/2018 23:00,0
1/9/2018 22:00,1/10/2018 0:00,0
1/9/2018 23:00,1/10/2018 1:00,0
1/10/2018 0:00,1/10/2018 2:00,0
1/10/2018 1:00,1/10/2018 3:00,0
1/10/2018 2:00,1/10/2018 4:00,0
1/10/2018 3:00,1/10/2018 5:00,0
