# Renewables.ninja Wind (Point API) - 34.429, 36.044 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,
# Units: time in UTC, local_time in Asia/Beirut, electricity in kW,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Asia/Beirut"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""34.428515793964486"""," ""lon"": ""36.04356779265761"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""height"": ""80"""," ""turbine"": ""Vestas V90 2000"""," ""raw"": false}}"
time,local_time,electricity,,,,,,,,,,,
1/1/2019 0:00,1/1/2019 2:00,0.062,,,,,,,,,,,
1/1/2019 1:00,1/1/2019 3:00,0.084,,,,,,,,,,,
1/1/2019 2:00,1/1/2019 4:00,0.185,,,,,,,,,,,
1/1/2019 3:00,1/1/2019 5:00,0.313,,,,,,,,,,,
1/1/2019 4:00,1/1/2019 6:00,0.444,,,,,,,,,,,
1/1/2019 5:00,1/1/2019 7:00,0.464,,,,,,,,,,,
1/1/2019 6:00,1/1/2019 8:00,0.358,,,,,,,,,,,
1/1/2019 7:00,1/1/2019 9:00,0.519,,,,,,,,,,,
1/1/2019 8:00,1/1/2019 10:00,0.464,,,,,,,,,,,
1/1/2019 9:00,1/1/2019 11:00,0.342,,,,,,,,,,,
1/1/2019 10:00,1/1/2019 12:00,0.232,,,,,,,,,,,
1/1/2019 11:00,1/1/2019 13:00,0.141,,,,,,,,,,,
1/1/2019 12:00,1/1/2019 14:00,0.079,,,,,,,,,,,
1/1/2019 13:00,1/1/2019 15:00,0.041,,,,,,,,,,,
1/1/2019 14:00,1/1/2019 16:00,0.017,,,,,,,,,,,
1/1/2019 15:00,1/1/2019 17:00,0.019,,,,,,,,,,,
1/1/2019 16:00,1/1/2019 18:00,0.036,,,,,,,,,,,
1/1/2019 17:00,1/1/2019 19:00,0.062,,,,,,,,,,,
1/1/2019 18:00,1/1/2019 20:00,0.086,,,,,,,,,,,
1/1/2019 19:00,1/1/2019 21:00,0.113,,,,,,,,,,,
1/1/2019 20:00,1/1/2019 22:00,0.131,,,,,,,,,,,
1/1/2019 21:00,1/1/2019 23:00,0.146,,,,,,,,,,,
1/1/2019 22:00,1/2/2019 0:00,0.159,,,,,,,,,,,
1/1/2019 23:00,1/2/2019 1:00,0.158,,,,,,,,,,,
1/2/2019 0:00,1/2/2019 2:00,0.14,,,,,,,,,,,
1/2/2019 1:00,1/2/2019 3:00,0.118,,,,,,,,,,,
