time,local_time,electricity
1/1/2014 0:00,1/1/2014 2:00,0
1/1/2014 1:00,1/1/2014 3:00,0
1/1/2014 2:00,1/1/2014 4:00,0
1/1/2014 3:00,1/1/2014 5:00,0
1/1/2014 4:00,1/1/2014 6:00,0
1/1/2014 5:00,1/1/2014 7:00,0.171
1/1/2014 6:00,1/1/2014 8:00,0.45
1/1/2014 7:00,1/1/2014 9:00,0.662
1/1/2014 8:00,1/1/2014 10:00,0.753
1/1/2014 9:00,1/1/2014 11:00,0.772
1/1/2014 10:00,1/1/2014 12:00,0.721
1/1/2014 11:00,1/1/2014 13:00,0.601
1/1/2014 12:00,1/1/2014 14:00,0.39
1/1/2014 13:00,1/1/2014 15:00,0.146
1/1/2014 14:00,1/1/2014 16:00,0.002
1/1/2014 15:00,1/1/2014 17:00,0
1/1/2014 16:00,1/1/2014 18:00,0
1/1/2014 17:00,1/1/2014 19:00,0
1/1/2014 18:00,1/1/2014 20:00,0
1/1/2014 19:00,1/1/2014 21:00,0
1/1/2014 20:00,1/1/2014 22:00,0
1/1/2014 21:00,1/1/2014 23:00,0
1/1/2014 22:00,1/2/2014 0:00,0
1/1/2014 23:00,1/2/2014 1:00,0
1/2/2014 0:00,1/2/2014 2:00,0
1/2/2014 1:00,1/2/2014 3:00,0
1/2/2014 2:00,1/2/2014 4:00,0
1/2/2014 3:00,1/2/2014 5:00,0
1/2/2014 4:00,1/2/2014 6:00,0
1/2/2014 5:00,1/2/2014 7:00,0.197
1/2/2014 6:00,1/2/2014 8:00,0.411
1/2/2014 7:00,1/2/2014 9:00,0.653
1/2/2014 8:00,1/2/2014 10:00,0.746
1/2/2014 9:00,1/2/2014 11:00,0.774
1/2/2014 10:00,1/2/2014 12:00,0.739
1/2/2014 11:00,1/2/2014 13:00,0.622
1/2/2014 12:00,1/2/2014 14:00,0.431
1/2/2014 13:00,1/2/2014 15:00,0.115
1/2/2014 14:00,1/2/2014 16:00,0.002
1/2/2014 15:00,1/2/2014 17:00,0
1/2/2014 16:00,1/2/2014 18:00,0
1/2/2014 17:00,1/2/2014 19:00,0
1/2/2014 18:00,1/2/2014 20:00,0
1/2/2014 19:00,1/2/2014 21:00,0
1/2/2014 20:00,1/2/2014 22:00,0
1/2/2014 21:00,1/2/2014 23:00,0
1/2/2014 22:00,1/3/2014 0:00,0
1/2/2014 23:00,1/3/2014 1:00,0
1/3/2014 0:00,1/3/2014 2:00,0
1/3/2014 1:00,1/3/2014 3:00,0
1/3/2014 2:00,1/3/2014 4:00,0
1/3/2014 3:00,1/3/2014 5:00,0
1/3/2014 4:00,1/3/2014 6:00,0
1/3/2014 5:00,1/3/2014 7:00,0.123
1/3/2014 6:00,1/3/2014 8:00,0.335
1/3/2014 7:00,1/3/2014 9:00,0.51
1/3/2014 8:00,1/3/2014 10:00,0.586
1/3/2014 9:00,1/3/2014 11:00,0.607
1/3/2014 10:00,1/3/2014 12:00,0.571
1/3/2014 11:00,1/3/2014 13:00,0.409
1/3/2014 12:00,1/3/2014 14:00,0.196
1/3/2014 13:00,1/3/2014 15:00,0.061
1/3/2014 14:00,1/3/2014 16:00,0.001
1/3/2014 15:00,1/3/2014 17:00,0
1/3/2014 16:00,1/3/2014 18:00,0
1/3/2014 17:00,1/3/2014 19:00,0
1/3/2014 18:00,1/3/2014 20:00,0
1/3/2014 19:00,1/3/2014 21:00,0
1/3/2014 20:00,1/3/2014 22:00,0
1/3/2014 21:00,1/3/2014 23:00,0
1/3/2014 22:00,1/4/2014 0:00,0
1/3/2014 23:00,1/4/2014 1:00,0
1/4/2014 0:00,1/4/2014 2:00,0
1/4/2014 1:00,1/4/2014 3:00,0
1/4/2014 2:00,1/4/2014 4:00,0
1/4/2014 3:00,1/4/2014 5:00,0
1/4/2014 4:00,1/4/2014 6:00,0
1/4/2014 5:00,1/4/2014 7:00,0.135
1/4/2014 6:00,1/4/2014 8:00,0.335
1/4/2014 7:00,1/4/2014 9:00,0.503
1/4/2014 8:00,1/4/2014 10:00,0.475
1/4/2014 9:00,1/4/2014 11:00,0.413
1/4/2014 10:00,1/4/2014 12:00,0.346
1/4/2014 11:00,1/4/2014 13:00,0.235
1/4/2014 12:00,1/4/2014 14:00,0.145
1/4/2014 13:00,1/4/2014 15:00,0.058
1/4/2014 14:00,1/4/2014 16:00,0.001
1/4/2014 15:00,1/4/2014 17:00,0
1/4/2014 16:00,1/4/2014 18:00,0
1/4/2014 17:00,1/4/2014 19:00,0
1/4/2014 18:00,1/4/2014 20:00,0
1/4/2014 19:00,1/4/2014 21:00,0
1/4/2014 20:00,1/4/2014 22:00,0
1/4/2014 21:00,1/4/2014 23:00,0
1/4/2014 22:00,1/5/2014 0:00,0
1/4/2014 23:00,1/5/2014 1:00,0
1/5/2014 0:00,1/5/2014 2:00,0
1/5/2014 1:00,1/5/2014 3:00,0
1/5/2014 2:00,1/5/2014 4:00,0
1/5/2014 3:00,1/5/2014 5:00,0
1/5/2014 4:00,1/5/2014 6:00,0
1/5/2014 5:00,1/5/2014 7:00,0.164
1/5/2014 6:00,1/5/2014 8:00,0.448
1/5/2014 7:00,1/5/2014 9:00,0.591
1/5/2014 8:00,1/5/2014 10:00,0.669
1/5/2014 9:00,1/5/2014 11:00,0.686
1/5/2014 10:00,1/5/2014 12:00,0.631
1/5/2014 11:00,1/5/2014 13:00,0.511
1/5/2014 12:00,1/5/2014 14:00,0.355
1/5/2014 13:00,1/5/2014 15:00,0.135
1/5/2014 14:00,1/5/2014 16:00,0.001
1/5/2014 15:00,1/5/2014 17:00,0
1/5/2014 16:00,1/5/2014 18:00,0
1/5/2014 17:00,1/5/2014 19:00,0
1/5/2014 18:00,1/5/2014 20:00,0
1/5/2014 19:00,1/5/2014 21:00,0
1/5/2014 20:00,1/5/2014 22:00,0
1/5/2014 21:00,1/5/2014 23:00,0
1/5/2014 22:00,1/6/2014 0:00,0
1/5/2014 23:00,1/6/2014 1:00,0
1/6/2014 0:00,1/6/2014 2:00,0
1/6/2014 1:00,1/6/2014 3:00,0
1/6/2014 2:00,1/6/2014 4:00,0
1/6/2014 3:00,1/6/2014 5:00,0
1/6/2014 4:00,1/6/2014 6:00,0
1/6/2014 5:00,1/6/2014 7:00,0.098
1/6/2014 6:00,1/6/2014 8:00,0.401
1/6/2014 7:00,1/6/2014 9:00,0.668
1/6/2014 8:00,1/6/2014 10:00,0.792
1/6/2014 9:00,1/6/2014 11:00,0.821
1/6/2014 10:00,1/6/2014 12:00,0.797
1/6/2014 11:00,1/6/2014 13:00,0.713
1/6/2014 12:00,1/6/2014 14:00,0.551
1/6/2014 13:00,1/6/2014 15:00,0.311
1/6/2014 14:00,1/6/2014 16:00,0.02
1/6/2014 15:00,1/6/2014 17:00,0
1/6/2014 16:00,1/6/2014 18:00,0
1/6/2014 17:00,1/6/2014 19:00,0
1/6/2014 18:00,1/6/2014 20:00,0
1/6/2014 19:00,1/6/2014 21:00,0
1/6/2014 20:00,1/6/2014 22:00,0
1/6/2014 21:00,1/6/2014 23:00,0
1/6/2014 22:00,1/7/2014 0:00,0
1/6/2014 23:00,1/7/2014 1:00,0
1/7/2014 0:00,1/7/2014 2:00,0
1/7/2014 1:00,1/7/2014 3:00,0
1/7/2014 2:00,1/7/2014 4:00,0
1/7/2014 3:00,1/7/2014 5:00,0
1/7/2014 4:00,1/7/2014 6:00,0.002
1/7/2014 5:00,1/7/2014 7:00,0.257
1/7/2014 6:00,1/7/2014 8:00,0.542
1/7/2014 7:00,1/7/2014 9:00,0.708
1/7/2014 8:00,1/7/2014 10:00,0.791
1/7/2014 9:00,1/7/2014 11:00,0.798
1/7/2014 10:00,1/7/2014 12:00,0.715
1/7/2014 11:00,1/7/2014 13:00,0.558
1/7/2014 12:00,1/7/2014 14:00,0.339
1/7/2014 13:00,1/7/2014 15:00,0.139
1/7/2014 14:00,1/7/2014 16:00,0.007
1/7/2014 15:00,1/7/2014 17:00,0
1/7/2014 16:00,1/7/2014 18:00,0
1/7/2014 17:00,1/7/2014 19:00,0
1/7/2014 18:00,1/7/2014 20:00,0
1/7/2014 19:00,1/7/2014 21:00,0
1/7/2014 20:00,1/7/2014 22:00,0
1/7/2014 21:00,1/7/2014 23:00,0
1/7/2014 22:00,1/8/2014 0:00,0
1/7/2014 23:00,1/8/2014 1:00,0
1/8/2014 0:00,1/8/2014 2:00,0
1/8/2014 1:00,1/8/2014 3:00,0
1/8/2014 2:00,1/8/2014 4:00,0
1/8/2014 3:00,1/8/2014 5:00,0
1/8/2014 4:00,1/8/2014 6:00,0.003
1/8/2014 5:00,1/8/2014 7:00,0.303
1/8/2014 6:00,1/8/2014 8:00,0.56
1/8/2014 7:00,1/8/2014 9:00,0.73
1/8/2014 8:00,1/8/2014 10:00,0.819
1/8/2014 9:00,1/8/2014 11:00,0.837
1/8/2014 10:00,1/8/2014 12:00,0.808
1/8/2014 11:00,1/8/2014 13:00,0.722
1/8/2014 12:00,1/8/2014 14:00,0.563
1/8/2014 13:00,1/8/2014 15:00,0.307
1/8/2014 14:00,1/8/2014 16:00,0.019
1/8/2014 15:00,1/8/2014 17:00,0
1/8/2014 16:00,1/8/2014 18:00,0
1/8/2014 17:00,1/8/2014 19:00,0
1/8/2014 18:00,1/8/2014 20:00,0
1/8/2014 19:00,1/8/2014 21:00,0
1/8/2014 20:00,1/8/2014 22:00,0
1/8/2014 21:00,1/8/2014 23:00,0
1/8/2014 22:00,1/9/2014 0:00,0
1/8/2014 23:00,1/9/2014 1:00,0
1/9/2014 0:00,1/9/2014 2:00,0
1/9/2014 1:00,1/9/2014 3:00,0
1/9/2014 2:00,1/9/2014 4:00,0
1/9/2014 3:00,1/9/2014 5:00,0
1/9/2014 4:00,1/9/2014 6:00,0
1/9/2014 5:00,1/9/2014 7:00,0.13
1/9/2014 6:00,1/9/2014 8:00,0.405
1/9/2014 7:00,1/9/2014 9:00,0.673
1/9/2014 8:00,1/9/2014 10:00,0.778
1/9/2014 9:00,1/9/2014 11:00,0.795
1/9/2014 10:00,1/9/2014 12:00,0.759
1/9/2014 11:00,1/9/2014 13:00,0.649
1/9/2014 12:00,1/9/2014 14:00,0.454
1/9/2014 13:00,1/9/2014 15:00,0.166
1/9/2014 14:00,1/9/2014 16:00,0.002
1/9/2014 15:00,1/9/2014 17:00,0
1/9/2014 16:00,1/9/2014 18:00,0
1/9/2014 17:00,1/9/2014 19:00,0
1/9/2014 18:00,1/9/2014 20:00,0
1/9/2014 19:00,1/9/2014 21:00,0
1/9/2014 20:00,1/9/2014 22:00,0
1/9/2014 21:00,1/9/2014 23:00,0
1/9/2014 22:00,1/10/2014 0:00,0
1/9/2014 23:00,1/10/2014 1:00,0
1/10/2014 0:00,1/10/2014 2:00,0
1/10/2014 1:00,1/10/2014 3:00,0
1/10/2014 2:00,1/10/2014 4:00,0
1/10/2014 3:00,1/10/2014 5:00,0
1/10/2014 4:00,1/10/2014 6:00,0
1/10/2014 5:00,1/10/2014 7:00,0.018
1/10/2014 6:00,1/10/2014 8:00,0.06
1/10/2014 7:00,1/10/2014 9:00,0.131
1/10/2014 8:00,1/10/2014 10:00,0.246
1/10/2014 9:00,1/10/2014 11:00,0.277
1/10/2014 10:00,1/10/2014 12:00,0.244
1/10/2014 11:00,1/10/2014 13:00,0.202
1/10/2014 12:00,1/10/2014 14:00,0.128
1/10/2014 13:00,1/10/2014 15:00,0.048
1/10/2014 14:00,1/10/2014 16:00,0
1/10/2014 15:00,1/10/2014 17:00,0
1/10/2014 16:00,1/10/2014 18:00,0
1/10/2014 17:00,1/10/2014 19:00,0
1/10/2014 18:00,1/10/2014 20:00,0
1/10/2014 19:00,1/10/2014 21:00,0
1/10/2014 20:00,1/10/2014 22:00,0
1/10/2014 21:00,1/10/2014 23:00,0
1/10/2014 22:00,1/11/2014 0:00,0
1/10/2014 23:00,1/11/2014 1:00,0
1/11/2014 0:00,1/11/2014 2:00,0
1/11/2014 1:00,1/11/2014 3:00,0
1/11/2014 2:00,1/11/2014 4:00,0
1/11/2014 3:00,1/11/2014 5:00,0
1/11/2014 4:00,1/11/2014 6:00,0.001
1/11/2014 5:00,1/11/2014 7:00,0.142
1/11/2014 6:00,1/11/2014 8:00,0.475
1/11/2014 7:00,1/11/2014 9:00,0.688
1/11/2014 8:00,1/11/2014 10:00,0.796
1/11/2014 9:00,1/11/2014 11:00,0.826
1/11/2014 10:00,1/11/2014 12:00,0.795
1/11/2014 11:00,1/11/2014 13:00,0.706
1/11/2014 12:00,1/11/2014 14:00,0.55
1/11/2014 13:00,1/11/2014 15:00,0.309
1/11/2014 14:00,1/11/2014 16:00,0.025
1/11/2014 15:00,1/11/2014 17:00,0
1/11/2014 16:00,1/11/2014 18:00,0
1/11/2014 17:00,1/11/2014 19:00,0
1/11/2014 18:00,1/11/2014 20:00,0
1/11/2014 19:00,1/11/2014 21:00,0
1/11/2014 20:00,1/11/2014 22:00,0
1/11/2014 21:00,1/11/2014 23:00,0
1/11/2014 22:00,1/12/2014 0:00,0
1/11/2014 23:00,1/12/2014 1:00,0
1/12/2014 0:00,1/12/2014 2:00,0
1/12/2014 1:00,1/12/2014 3:00,0
1/12/2014 2:00,1/12/2014 4:00,0
1/12/2014 3:00,1/12/2014 5:00,0
1/12/2014 4:00,1/12/2014 6:00,0
1/12/2014 5:00,1/12/2014 7:00,0.035
1/12/2014 6:00,1/12/2014 8:00,0.102
1/12/2014 7:00,1/12/2014 9:00,0.209
1/12/2014 8:00,1/12/2014 10:00,0.428
1/12/2014 9:00,1/12/2014 11:00,0.388
1/12/2014 10:00,1/12/2014 12:00,0.346
1/12/2014 11:00,1/12/2014 13:00,0.236
1/12/2014 12:00,1/12/2014 14:00,0.152
1/12/2014 13:00,1/12/2014 15:00,0.047
1/12/2014 14:00,1/12/2014 16:00,0
1/12/2014 15:00,1/12/2014 17:00,0
1/12/2014 16:00,1/12/2014 18:00,0
1/12/2014 17:00,1/12/2014 19:00,0
1/12/2014 18:00,1/12/2014 20:00,0
1/12/2014 19:00,1/12/2014 21:00,0
1/12/2014 20:00,1/12/2014 22:00,0
1/12/2014 21:00,1/12/2014 23:00,0
1/12/2014 22:00,1/13/2014 0:00,0
1/12/2014 23:00,1/13/2014 1:00,0
1/13/2014 0:00,1/13/2014 2:00,0
1/13/2014 1:00,1/13/2014 3:00,0
1/13/2014 2:00,1/13/2014 4:00,0
1/13/2014 3:00,1/13/2014 5:00,0
1/13/2014 4:00,1/13/2014 6:00,0
1/13/2014 5:00,1/13/2014 7:00,0.032
1/13/2014 6:00,1/13/2014 8:00,0.113
1/13/2014 7:00,1/13/2014 9:00,0.191
1/13/2014 8:00,1/13/2014 10:00,0.261
1/13/2014 9:00,1/13/2014 11:00,0.321
1/13/2014 10:00,1/13/2014 12:00,0.355
1/13/2014 11:00,1/13/2014 13:00,0.327
1/13/2014 12:00,1/13/2014 14:00,0.317
1/13/2014 13:00,1/13/2014 15:00,0.153
1/13/2014 14:00,1/13/2014 16:00,0.003
1/13/2014 15:00,1/13/2014 17:00,0
1/13/2014 16:00,1/13/2014 18:00,0
1/13/2014 17:00,1/13/2014 19:00,0
1/13/2014 18:00,1/13/2014 20:00,0
1/13/2014 19:00,1/13/2014 21:00,0
1/13/2014 20:00,1/13/2014 22:00,0
1/13/2014 21:00,1/13/2014 23:00,0
1/13/2014 22:00,1/14/2014 0:00,0
1/13/2014 23:00,1/14/2014 1:00,0
1/14/2014 0:00,1/14/2014 2:00,0
1/14/2014 1:00,1/14/2014 3:00,0
