datetime,local_time,electricity
1/1/2016 0:00,1/1/2016 2:00,0
1/1/2016 1:00,1/1/2016 3:00,0
1/1/2016 2:00,1/1/2016 4:00,0
1/1/2016 3:00,1/1/2016 5:00,0
1/1/2016 4:00,1/1/2016 6:00,0
1/1/2016 5:00,1/1/2016 7:00,0.034
1/1/2016 6:00,1/1/2016 8:00,0.133
1/1/2016 7:00,1/1/2016 9:00,0.205
1/1/2016 8:00,1/1/2016 10:00,0.285
1/1/2016 9:00,1/1/2016 11:00,0.37
1/1/2016 10:00,1/1/2016 12:00,0.459
1/1/2016 11:00,1/1/2016 13:00,0.475
1/1/2016 12:00,1/1/2016 14:00,0.309
1/1/2016 13:00,1/1/2016 15:00,0.116
1/1/2016 14:00,1/1/2016 16:00,0.001
1/1/2016 15:00,1/1/2016 17:00,0
1/1/2016 16:00,1/1/2016 18:00,0
1/1/2016 17:00,1/1/2016 19:00,0
1/1/2016 18:00,1/1/2016 20:00,0
1/1/2016 19:00,1/1/2016 21:00,0
1/1/2016 20:00,1/1/2016 22:00,0
1/1/2016 21:00,1/1/2016 23:00,0
1/1/2016 22:00,1/2/2016 0:00,0
1/1/2016 23:00,1/2/2016 1:00,0
1/2/2016 0:00,1/2/2016 2:00,0
1/2/2016 1:00,1/2/2016 3:00,0
1/2/2016 2:00,1/2/2016 4:00,0
1/2/2016 3:00,1/2/2016 5:00,0
1/2/2016 4:00,1/2/2016 6:00,0
1/2/2016 5:00,1/2/2016 7:00,0.098
1/2/2016 6:00,1/2/2016 8:00,0.289
1/2/2016 7:00,1/2/2016 9:00,0.488
1/2/2016 8:00,1/2/2016 10:00,0.624
1/2/2016 9:00,1/2/2016 11:00,0.673
1/2/2016 10:00,1/2/2016 12:00,0.603
1/2/2016 11:00,1/2/2016 13:00,0.457
1/2/2016 12:00,1/2/2016 14:00,0.312
1/2/2016 13:00,1/2/2016 15:00,0.135
1/2/2016 14:00,1/2/2016 16:00,0.003
1/2/2016 15:00,1/2/2016 17:00,0
1/2/2016 16:00,1/2/2016 18:00,0
1/2/2016 17:00,1/2/2016 19:00,0
1/2/2016 18:00,1/2/2016 20:00,0
1/2/2016 19:00,1/2/2016 21:00,0
1/2/2016 20:00,1/2/2016 22:00,0
1/2/2016 21:00,1/2/2016 23:00,0
1/2/2016 22:00,1/3/2016 0:00,0
1/2/2016 23:00,1/3/2016 1:00,0
1/3/2016 0:00,1/3/2016 2:00,0
1/3/2016 1:00,1/3/2016 3:00,0
1/3/2016 2:00,1/3/2016 4:00,0
1/3/2016 3:00,1/3/2016 5:00,0
1/3/2016 4:00,1/3/2016 6:00,0
1/3/2016 5:00,1/3/2016 7:00,0.042
1/3/2016 6:00,1/3/2016 8:00,0.124
1/3/2016 7:00,1/3/2016 9:00,0.188
1/3/2016 8:00,1/3/2016 10:00,0.217
1/3/2016 9:00,1/3/2016 11:00,0.208
1/3/2016 10:00,1/3/2016 12:00,0.22
1/3/2016 11:00,1/3/2016 13:00,0.184
1/3/2016 12:00,1/3/2016 14:00,0.11
1/3/2016 13:00,1/3/2016 15:00,0.049
1/3/2016 14:00,1/3/2016 16:00,0.001
1/3/2016 15:00,1/3/2016 17:00,0
1/3/2016 16:00,1/3/2016 18:00,0
1/3/2016 17:00,1/3/2016 19:00,0
1/3/2016 18:00,1/3/2016 20:00,0
1/3/2016 19:00,1/3/2016 21:00,0
1/3/2016 20:00,1/3/2016 22:00,0
1/3/2016 21:00,1/3/2016 23:00,0
1/3/2016 22:00,1/4/2016 0:00,0
1/3/2016 23:00,1/4/2016 1:00,0
1/4/2016 0:00,1/4/2016 2:00,0
1/4/2016 1:00,1/4/2016 3:00,0
1/4/2016 2:00,1/4/2016 4:00,0
1/4/2016 3:00,1/4/2016 5:00,0
1/4/2016 4:00,1/4/2016 6:00,0
1/4/2016 5:00,1/4/2016 7:00,0.041
1/4/2016 6:00,1/4/2016 8:00,0.181
1/4/2016 7:00,1/4/2016 9:00,0.523
1/4/2016 8:00,1/4/2016 10:00,0.653
1/4/2016 9:00,1/4/2016 11:00,0.695
1/4/2016 10:00,1/4/2016 12:00,0.602
1/4/2016 11:00,1/4/2016 13:00,0.345
1/4/2016 12:00,1/4/2016 14:00,0.151
1/4/2016 13:00,1/4/2016 15:00,0.039
1/4/2016 14:00,1/4/2016 16:00,0
1/4/2016 15:00,1/4/2016 17:00,0
1/4/2016 16:00,1/4/2016 18:00,0
1/4/2016 17:00,1/4/2016 19:00,0
1/4/2016 18:00,1/4/2016 20:00,0
1/4/2016 19:00,1/4/2016 21:00,0
1/4/2016 20:00,1/4/2016 22:00,0
1/4/2016 21:00,1/4/2016 23:00,0
1/4/2016 22:00,1/5/2016 0:00,0
1/4/2016 23:00,1/5/2016 1:00,0
1/5/2016 0:00,1/5/2016 2:00,0
1/5/2016 1:00,1/5/2016 3:00,0
1/5/2016 2:00,1/5/2016 4:00,0
1/5/2016 3:00,1/5/2016 5:00,0
1/5/2016 4:00,1/5/2016 6:00,0
1/5/2016 5:00,1/5/2016 7:00,0.013
