datetime,local_time,electricity
1/1/2015 0:00,1/1/2015 2:00,0
1/1/2015 1:00,1/1/2015 3:00,0
1/1/2015 2:00,1/1/2015 4:00,0
1/1/2015 3:00,1/1/2015 5:00,0
1/1/2015 4:00,1/1/2015 6:00,0
1/1/2015 5:00,1/1/2015 7:00,0.071
1/1/2015 6:00,1/1/2015 8:00,0.315
1/1/2015 7:00,1/1/2015 9:00,0.614
1/1/2015 8:00,1/1/2015 10:00,0.73
1/1/2015 9:00,1/1/2015 11:00,0.771
1/1/2015 10:00,1/1/2015 12:00,0.748
1/1/2015 11:00,1/1/2015 13:00,0.666
1/1/2015 12:00,1/1/2015 14:00,0.515
1/1/2015 13:00,1/1/2015 15:00,0.276
1/1/2015 14:00,1/1/2015 16:00,0.011
1/1/2015 15:00,1/1/2015 17:00,0
1/1/2015 16:00,1/1/2015 18:00,0
1/1/2015 17:00,1/1/2015 19:00,0
1/1/2015 18:00,1/1/2015 20:00,0
1/1/2015 19:00,1/1/2015 21:00,0
1/1/2015 20:00,1/1/2015 22:00,0
1/1/2015 21:00,1/1/2015 23:00,0
1/1/2015 22:00,1/2/2015 0:00,0
1/1/2015 23:00,1/2/2015 1:00,0
1/2/2015 0:00,1/2/2015 2:00,0
1/2/2015 1:00,1/2/2015 3:00,0
1/2/2015 2:00,1/2/2015 4:00,0
1/2/2015 3:00,1/2/2015 5:00,0
1/2/2015 4:00,1/2/2015 6:00,0
1/2/2015 5:00,1/2/2015 7:00,0.011
1/2/2015 6:00,1/2/2015 8:00,0.058
1/2/2015 7:00,1/2/2015 9:00,0.139
1/2/2015 8:00,1/2/2015 10:00,0.301
1/2/2015 9:00,1/2/2015 11:00,0.409
1/2/2015 10:00,1/2/2015 12:00,0.53
1/2/2015 11:00,1/2/2015 13:00,0.469
1/2/2015 12:00,1/2/2015 14:00,0.267
1/2/2015 13:00,1/2/2015 15:00,0.108
1/2/2015 14:00,1/2/2015 16:00,0
1/2/2015 15:00,1/2/2015 17:00,0
1/2/2015 16:00,1/2/2015 18:00,0
1/2/2015 17:00,1/2/2015 19:00,0
1/2/2015 18:00,1/2/2015 20:00,0
1/2/2015 19:00,1/2/2015 21:00,0
1/2/2015 20:00,1/2/2015 22:00,0
1/2/2015 21:00,1/2/2015 23:00,0
1/2/2015 22:00,1/3/2015 0:00,0
1/2/2015 23:00,1/3/2015 1:00,0
1/3/2015 0:00,1/3/2015 2:00,0
1/3/2015 1:00,1/3/2015 3:00,0
1/3/2015 2:00,1/3/2015 4:00,0
1/3/2015 3:00,1/3/2015 5:00,0
1/3/2015 4:00,1/3/2015 6:00,0
1/3/2015 5:00,1/3/2015 7:00,0.023
1/3/2015 6:00,1/3/2015 8:00,0.075
1/3/2015 7:00,1/3/2015 9:00,0.203
1/3/2015 8:00,1/3/2015 10:00,0.361
1/3/2015 9:00,1/3/2015 11:00,0.424
1/3/2015 10:00,1/3/2015 12:00,0.457
1/3/2015 11:00,1/3/2015 13:00,0.402
1/3/2015 12:00,1/3/2015 14:00,0.258
1/3/2015 13:00,1/3/2015 15:00,0.088
1/3/2015 14:00,1/3/2015 16:00,0
1/3/2015 15:00,1/3/2015 17:00,0
1/3/2015 16:00,1/3/2015 18:00,0
1/3/2015 17:00,1/3/2015 19:00,0
1/3/2015 18:00,1/3/2015 20:00,0
1/3/2015 19:00,1/3/2015 21:00,0
1/3/2015 20:00,1/3/2015 22:00,0
1/3/2015 21:00,1/3/2015 23:00,0
1/3/2015 22:00,1/4/2015 0:00,0
1/3/2015 23:00,1/4/2015 1:00,0
1/4/2015 0:00,1/4/2015 2:00,0
1/4/2015 1:00,1/4/2015 3:00,0
